,Country name,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator
0,Afghanistan,7.6972479820251465,0.41997286677360535,52.400001525878906,0.3936561644077301,-0.10845886915922165,0.9238491058349609,0.35138705372810364,0.5024737119674683,South Asia
1,Albania,9.544079780578613,0.6863648891448975,69.0,0.777351438999176,-0.09926263988018036,0.9142842888832092,0.6810804009437561,0.27382737398147583,Central and Eastern Europe
2,Algeria,9.336946487426758,0.8032586574554443,66.0999984741211,0.3850834369659424,0.005086520221084356,0.740609347820282,0.5849443078041077,0.21519775688648224,Middle East and North Africa
3,Argentina,10.00033950805664,0.896370530128479,69.0,0.8170526027679443,-0.21071866154670715,0.8304597735404968,0.825964629650116,0.31905484199523926,Latin America and Caribbean
4,Armenia,9.521769523620605,0.7816038727760315,67.19999694824219,0.8443241119384766,-0.17236898839473724,0.583472728729248,0.5982378125190735,0.43046340346336365,Commonwealth of Independent States
5,Australia,10.814892768859863,0.9427743554115295,73.9000015258789,0.9175369143486023,0.12068159133195877,0.43020865321159363,0.7700435519218445,0.2021900713443756,North America and ANZ
6,Austria,10.939380645751953,0.9644888043403625,73.30000305175781,0.9034276604652405,0.05968630313873291,0.4570888876914978,0.7744592428207397,0.20516973733901978,Western Europe
7,Azerbaijan,9.575250625610352,0.886756420135498,65.80000305175781,0.8542485237121582,-0.2141629159450531,0.4572606682777405,0.6425468325614929,0.16392025351524353,Commonwealth of Independent States
8,Bangladesh,8.466684341430664,0.6731721758842468,64.80000305175781,0.9019366502761841,-0.051465846598148346,0.6560046076774597,0.5372351408004761,0.36947154998779297,South Asia
9,Belarus,9.860038757324219,0.9167404770851135,66.4000015258789,0.656933605670929,-0.18593330681324005,0.5459047555923462,0.5908505916595459,0.18982140719890594,Commonwealth of Independent States
10,Belgium,10.853363990783691,0.8842304944992065,72.19999694824219,0.7762036323547363,-0.17152146995067596,0.6724975109100342,0.7334555983543396,0.24363084137439728,Western Europe
11,Benin,8.097825050354004,0.4421539306640625,54.70000076293945,0.770359992980957,-0.01612868346273899,0.6983469724655151,0.6587735414505005,0.4413987696170807,Sub-Saharan Africa
12,Bolivia,9.073887825012207,0.7843014001846313,63.900001525878906,0.8813109397888184,-0.08567424863576889,0.8572204113006592,0.7514081597328186,0.4193282127380371,Latin America and Caribbean
13,Bosnia and Herzegovina,9.608766555786133,0.8731419444084167,68.0999984741211,0.7215632200241089,0.07936187088489532,0.9629080295562744,0.632989764213562,0.23806855082511902,Central and Eastern Europe
14,Botswana,9.785069465637207,0.7736672163009644,59.599998474121094,0.8325426578521729,-0.23900093138217926,0.792079508304596,0.7117963433265686,0.2727217674255371,Sub-Saharan Africa
15,Brazil,9.592306137084961,0.8991750478744507,66.5999984741211,0.830206036567688,-0.061973221600055695,0.7618405818939209,0.7608455419540405,0.3370513319969177,Latin America and Caribbean
16,Bulgaria,10.047212600708008,0.9482043981552124,67.0,0.8219298720359802,-0.10858744382858276,0.9428064823150635,0.6628254055976868,0.19988831877708435,Central and Eastern Europe
17,Burkina Faso,7.691488265991211,0.6831023693084717,54.400001525878906,0.6775468587875366,-0.004089894238859415,0.7293965816497803,0.6909258961677551,0.3647753894329071,Sub-Saharan Africa
18,Cambodia,8.386811256408691,0.7591754794120789,62.0,0.9567992091178894,0.013222623616456985,0.8284444808959961,0.8443537354469299,0.38958629965782166,Southeast Asia
19,Cameroon,8.203218460083008,0.7109647393226624,53.5,0.7115002870559692,-0.007857682183384895,0.817170262336731,0.6294511556625366,0.3263950049877167,Sub-Saharan Africa
20,Canada,10.800215721130371,0.9253039956092834,73.80000305175781,0.9115256071090698,0.11159081757068634,0.43643441796302795,0.8224430680274963,0.28483375906944275,North America and ANZ
21,Chad,7.364943981170654,0.6404520869255066,48.70000076293945,0.5372456908226013,0.05500093847513199,0.8322834968566895,0.5872111916542053,0.46006128191947937,Sub-Saharan Africa
22,Chile,10.09518814086914,0.8691219091415405,70.0,0.659176766872406,-0.10276608169078827,0.8604915738105774,0.8086165189743042,0.33724379539489746,Latin America and Caribbean
23,Colombia,9.597702026367188,0.8725789189338684,68.0,0.8215007185935974,-0.17213095724582672,0.8536461591720581,0.8224903345108032,0.32180628180503845,Latin America and Caribbean
24,Comoros,8.033134460449219,0.6320129632949829,57.5,0.5382615327835083,0.0772530809044838,0.7622324824333191,0.7362217307090759,0.33616289496421814,Sub-Saharan Africa
25,Congo (Brazzaville),8.101092338562012,0.624768078327179,58.5,0.6864519715309143,-0.04605123773217201,0.740589439868927,0.6452539563179016,0.40504083037376404,Sub-Saharan Africa
26,Costa Rica,9.885446548461914,0.9060774445533752,71.5,0.9268301129341125,-0.14599433541297913,0.83562833070755,0.8483476042747498,0.3033272325992584,Latin America and Caribbean
27,Croatia,10.25795841217041,0.93598872423172,70.80000305175781,0.7393006086349487,-0.13739271461963654,0.9316146373748779,0.5506895184516907,0.26915451884269714,Central and Eastern Europe
28,Cyprus,10.585186958312988,0.7760780453681946,73.9000015258789,0.7400580048561096,-0.007662829011678696,0.8652942180633545,0.7626770734786987,0.29022520780563354,Western Europe
29,Denmark,10.954032897949219,0.9577063918113708,72.69999694824219,0.963318407535553,0.020323727279901505,0.17415058612823486,0.861935019493103,0.18107062578201294,Western Europe
30,Dominican Republic,9.82114028930664,0.8840898871421814,66.0999984741211,0.8774062395095825,-0.12269604206085205,0.7456153631210327,0.7842183113098145,0.2640541195869446,Latin America and Caribbean
31,Ecuador,9.339201927185059,0.8084858059883118,68.80000305175781,0.8295736908912659,-0.11483294516801834,0.8394950032234192,0.8110500574111938,0.3735581934452057,Latin America and Caribbean
32,El Salvador,9.079774856567383,0.7643905282020569,66.4000015258789,0.8773906826972961,-0.10884762555360794,0.6815764904022217,0.870572566986084,0.27147504687309265,Latin America and Caribbean
33,Estonia,10.510815620422363,0.9340643286705017,68.80000305175781,0.8865043520927429,-0.09572441130876541,0.5757541656494141,0.8042798042297363,0.15627901256084442,Central and Eastern Europe
